time(sec)	location1	location2	location3	location4	location5	location6	location7	location8
1	0.017	0.017	0.017	0.017	0.017	0.017	0.017	0.017
10	0.017	0.017	0.017	0.017	0.017	0.017	0.017	0.017
20	0.0053	0.0112	0.0208	0.077	0.0177	0.0044	0.0105	0.0099
30	0.0056	0.0068	0.0073	0.1938	0.1048	0.0049	0.0111	0.0093
40	0.0056	0.0093	0.0171	0.4472	0.2754	0.0082	0.0138	0.0108
50	0.0207	0.0229	0.0238	0.9948	0.4479	0.0213	0.0265	0.0243
60	0.0056	0.009	0.0166	1.0199	0.5431	0.0052	0.0128	0.0101
70	0.0234	0.0271	0.0292	1.302	0.5286	0.0204	0.0266	0.0247
80	0.0138	0.0155	0.0207	1.7615	0.8476	0.0039	0.0145	0.0128
90	0.0252	0.029	0.0313	1.9388	0.8741	0.0185	0.0285	0.0266
100	0.0131	0.0148	0.0201	1.837	0.8702	0.004	0.015	0.0129
110	0.0259	0.0295	0.0316	1.9411	0.8771	0.0193	0.0291	0.0272
120	0.0136	0.0151	0.0205	1.8582	0.8851	0.0042	0.0155	0.0135
130	0.0239	0.0276	0.0222	2.2923	1.0934	0.0167	0.0274	0.0254
140	0.0128	0.0146	0.0224	2.391	1.2165	0.003	0.0147	0.0127
150	0.0239	0.0275	0.7033	2.7793	1.4348	0.0769	0.0271	0.0253
160	0.0126	0.0144	2.1543	3.3049	1.7734	0.1566	0.0148	0.0128
170	0.0237	0.0273	3.1119	3.7279	1.9865	0.2226	0.0271	0.0252
180	0.0125	0.0144	3.4278	3.8858	2.0869	0.2347	0.0145	0.0124
190	0.0226	0.0261	3.5844	3.9577	2.1184	0.2556	0.0257	0.0239
200	0.012	0.014	3.5848	3.9669	2.1377	0.2487	0.0139	0.0119
210	0.0215	0.025	3.6729	3.9944	2.1496	0.2646	0.0244	0.0227
220	0.0114	0.0136	3.6778	4.0083	2.1704	0.2593	0.0134	0.0114
230	0.0212	0.0247	3.7598	4.0274	2.1795	0.2732	0.024	0.0223
240	0.0112	0.0135	3.7258	4.0308	2.1877	0.2643	0.0132	0.0111
250	0.021	0.0245	3.7452	4.0144	2.1724	0.2701	0.0237	0.022
260	0.0111	0.0134	3.6252	3.9702	2.1479	0.2511	0.013	0.0109
270	0.0199	0.0234	3.5796	3.9155	2.1093	0.2499	0.0226	0.0209
280	0.0106	0.013	3.4274	3.8494	2.0722	0.2279	0.0124	0.0104
290	0.0188	0.0222	3.3559	3.7794	2.0297	0.2252	0.0212	0.0196
300	0.0101	0.0127	3.2025	3.7143	1.992	0.2042	0.0118	0.0099
310	0.0176	0.0209	3.092	3.6331	1.9478	0.2004	0.0197	0.0182
320	0.0095	0.0122	2.9091	3.5698	1.9069	0.1791	0.0111	0.0093
330	0.0173	0.0205	2.8078	3.4821	1.8653	0.1764	0.019	0.0176
340	0.0092	0.0119	2.6765	3.4398	1.8372	0.1598	0.0106	0.0088
350	0.0161	0.0193	2.6087	3.3723	1.8087	0.1608	0.0176	0.0163
360	0.0087	0.0114	2.5218	3.3483	1.7926	0.1492	0.0098	0.0081
370	0.0068	0.01	2.4582	3.2799	1.7613	0.1416	0.0079	0.0068
380	0.0057	0.0079	2.3661	3.2029	1.724	0.1316	0.0048	0.0039
390	0.0053	0.0073	2.2259	3.0866	1.6754	0.1189	0.0029	0.0026
400	0.0049	0.0068	2.0898	2.9843	1.6267	0.1057	0.0023	0.0022
410	0.0041	0.0058	1.893	2.861	1.5647	0.0899	0.0019	0.0018
420	0.0034	0.0049	1.7233	2.7492	1.509	0.0753	0.0014	0.0013
430	0.0029	0.0043	1.4535	2.6189	1.4416	0.0568	0.0009	0.0008
440	0.0025	0.0037	1.131	2.5108	1.3888	0.0427	0.0006	0.0005
450	0.0019	0.0029	0.8831	2.394	1.3285	0.0253	0.0004	0.0003
460	0.0014	0.0022	0.6224	2.2585	1.2637	0.0066	0.0002	0.0002
470	0.001	0.0016	0.4032	2.1323	1.2005	0	0.0001	0.0001
480	0.0007	0.0011	0.173	1.99	1.1236	0	0.0001	0.0001
490	0.0005	0.0008	0.0002	1.8472	1.0397	0	0.0001	0.0001
500	0.0004	0.0005	0.0002	1.6953	0.9528	0	0.0001	0
510	0.0003	0.0004	0.0001	1.5607	0.8798	0	0	0
520	0.0002	0.0003	0.0001	1.4371	0.8105	0	0	0
530	0.0001	0.0002	0.0001	1.306	0.7355	0	0	0
540	0.0001	0.0001	0.0001	1.1983	0.673	0	0	0
550	0.0001	0.0001	0.0001	1.0856	0.6113	0	0	0
560	0	0.0001	0.0001	0.9861	0.5536	0	0	0
570	0	0	0	0.8973	0.5056	0	0	0
580	0	0	0	0.8158	0.4634	0	0	0
590	0	0	0	0.7464	0.4289	0	0	0
600	0	0	0	0.6797	0.396	0	0	0
610	0	0	0	0.6206	0.3559	0	0	0
620	0	0	0	0.5623	0.315	0	0	0
630	0	0	0	0.5173	0.2809	0	0	0
640	0	0	0	0.4809	0.2515	0	0	0
650	0	0	0	0.4466	0.2225	0	0	0
660	0	0	0	0.4152	0.198	0	0	0
670	0	0	0	0.3879	0.1753	0	0	0
680	0	0	0	0.3621	0.1543	0	0	0
690	0	0	0	0.3393	0.1352	0	0	0
700	0	0	0	0.3175	0.1175	0	0	0
