time(sec)	location1	location2	location3	location4	location5	location6	location7	location8
1	0	0	0	0	0	0	0	0
10	0	0	0	0	0	0	0	0
20	-3.495	-3.417	-4.7187	-5.9189	0.1357	3.5804	4.885	3.6464
30	-3.5166	-3.0236	-3.583	-7.9059	-2.9138	3.6541	4.9433	3.6091
40	-3.5188	-3.2563	-4.4712	-14.444	-4.0734	4.0571	5.1813	3.7226
50	-0.7886	-0.9303	-1.2031	-14.176	-5.3929	0.9412	1.9813	1.2397
60	-3.5152	-3.2322	-4.4276	-13.789	-5.7555	3.8893	5.1167	3.6824
70	-1.215	-1.414	-1.881	-13.894	-6.2917	0.8313	2.0254	1.3044
80	-4.2612	-3.6739	-4.6893	-13.289	-8.0853	3.9296	5.1977	3.7953
90	-1.4795	-1.6163	-2.1282	-13.689	-8.4716	0.6514	2.3071	1.5241
100	-4.2114	-3.6328	-4.6562	-13.568	-8.5709	3.991	5.238	3.8074
110	-1.3849	-1.5209	-1.9997	-13.718	-8.5763	0.593	2.1901	1.4404
120	-4.2459	-3.6516	-4.6844	-13.594	-8.5949	4.0244	5.2641	3.8311
130	-1.5287	-1.6575	-1.461	-14.193	-9.6511	0.6264	2.4073	1.5907
140	-4.182	-3.6205	-9.6446	-14.3	-10.172	3.9393	5.217	3.798
150	-1.5363	-1.6515	-17.027	-14.529	-10.607	-6.2467	2.3826	1.5886
160	-4.1618	-3.6068	-18.086	-14.727	-10.99	-8.6589	5.2235	3.8038
170	-1.5265	-1.6394	-18.424	-14.895	-11.119	-8.5363	2.3943	1.5922
180	-4.1574	-3.6048	-18.632	-15.02	-11.243	-9.0351	5.2094	3.7846
190	-1.5867	-1.6976	-18.634	-15.035	-11.245	-8.7857	2.4545	1.6289
200	-4.1094	-3.58	-18.694	-15.064	-11.287	-9.1107	5.1747	3.7613
210	-1.6549	-1.7547	-18.634	-15.04	-11.27	-8.875	2.5299	1.6897
220	-4.0627	-3.554	-18.692	-15.07	-11.311	-9.1685	5.1434	3.7387
230	-1.6352	-1.731	-18.617	-15.04	-11.291	-8.9259	2.4838	1.6594
240	-4.046	-3.5441	-18.693	-15.081	-11.33	-9.1984	5.1319	3.7271
250	-1.6231	-1.7212	-18.613	-15.045	-11.297	-8.9212	2.462	1.6351
260	-4.0335	-3.5374	-18.679	-15.075	-11.317	-9.1653	5.116	3.714
270	-1.6925	-1.7879	-18.583	-15.024	-11.268	-8.8648	2.5516	1.6969
280	-3.9915	-3.5137	-18.628	-15.04	-11.278	-9.099	5.0786	3.6897
290	-1.7675	-1.8497	-18.5	-14.97	-11.218	-8.7738	2.619	1.7539
300	-3.9466	-3.4866	-18.546	-14.984	-11.224	-9.0137	5.0386	3.6629
310	-1.8297	-1.9005	-18.401	-14.915	-11.171	-8.6817	2.6659	1.7954
320	-3.8947	-3.4534	-18.465	-14.932	-11.177	-8.9267	4.988	3.6278
330	-1.7997	-1.8683	-18.286	-14.85	-11.124	-8.5562	2.5701	1.7305
340	-3.8667	-3.435	-18.331	-14.877	-11.142	-8.8647	4.9555	3.6023
350	-1.8602	-1.9293	-18.184	-14.81	-11.099	-8.5062	2.6433	1.7851
360	-3.8108	-3.3974	-18.248	-14.841	-11.122	-8.8282	4.8952	3.5603
370	-3.6374	-3.2885	-18.206	-14.81	-11.116	-8.8548	4.7183	3.4618
380	-3.5149	-3.1174	-18.155	-14.789	-11.118	-8.862	4.438	3.2531
390	-3.4743	-3.0717	-18	-14.719	-11.089	-8.8138	4.2143	3.1345
400	-3.4276	-3.0277	-17.877	-14.663	-11.056	-8.7171	4.1269	3.0929
410	-3.3415	-2.9474	-17.741	-14.598	-11.006	-8.5528	4.0786	3.0579
420	-3.2598	-2.8637	-17.609	-14.53	-10.96	-8.3658	4.0164	3.0111
430	-3.2064	-2.8066	-17.437	-14.455	-10.901	-8.0412	3.9479	2.9652
440	-3.1515	-2.7517	-17.34	-14.384	-10.849	-7.6951	3.8954	2.9323
450	-3.0876	-2.683	-17.172	-14.306	-10.773	-7.0188	3.8631	2.9126
460	-3.0265	-2.6122	-16.827	-14.203	-10.694	-5.5681	3.8441	2.9008
470	-2.9756	-2.5496	-16.389	-14.106	-10.604	0	3.8312	2.8923
480	-2.9366	-2.4993	-15.308	-13.936	-10.435	0	3.8218	0
490	-2.9083	-2.4615	-2.8208	-13.753	-10.247	0	0	0
500	-2.888	-2.434	-2.8261	-13.473	-9.9564	0	0	0
510	-2.8737	-2.4146	-2.807	-13.16	-9.6477	0	0	0
520	-2.8637	-2.4011	0	-12.868	-9.3404	0	0	0
530	-2.8568	-2.3917	-2.7804	-12.47	-8.9146	0	0	0
540	0	-2.3851	-2.7807	-12.069	-8.5204	0	0	0
550	0	0	0	-11.617	-8.1191	0	0	0
560	0	0	0	-11.218	-7.7581	0	0	0
570	0	0	0	-10.848	-7.3963	0	0	0
580	0	0	0	-10.468	-6.9812	0	0	0
590	0	0	0	-10.175	-6.6099	0	0	0
600	0	0	0	-9.8057	-6.278	0	0	0
610	0	0	0	-9.4775	-5.9769	0	0	0
620	0	0	0	-9.1309	-5.6688	0	0	0
630	0	0	0	-8.8436	-5.4176	0	0	0
640	0	0	0	-8.6043	-5.2099	0	0	0
650	0	0	0	-8.3748	-5.0166	0	0	0
660	0	0	0	-8.17	-4.7739	0	0	0
670	0	0	0	-7.981	-4.5495	0	0	0
680	0	0	0	-7.7926	-4.3512	0	0	0
690	0	0	0	-7.6641	-4.1941	0	0	0
700	0	0	0	-7.57	-4.0634	0	0	0
