time(sec)	location1	location2	location3	location4	location5	location6	location7	location8
1	0	0	0	0	0	0	0	0
10	0	0	0	0	0	0	0	0
20	5.3763	5.059	5.0836	1.5179	-3.7171	-3.1561	-2.8605	-3.7215
30	5.426	4.4586	3.582	-0.4976	-6.7207	-3.2453	-2.8953	-3.6581
40	5.436	4.7937	4.7037	2.2803	-8.8072	-3.6435	-3.1682	-3.8433
50	1.2074	1.3643	1.212	-2.4075	-11.605	-0.8385	-1.1246	-1.2222
60	5.4464	4.7544	4.6427	-3.3469	-12.345	-3.4929	-3.0625	-3.7495
70	1.8921	2.1004	1.9619	-5.4643	-13.447	-0.7401	-1.153	-1.2909
80	6.8592	5.5648	5.0677	-11.348	-17.263	-3.5591	-3.248	-4.0521
90	2.3204	2.4178	2.2441	-12.781	-18.249	-0.5885	-1.3638	-1.5474
100	6.7519	5.4845	5.0142	-13.183	-18.394	-3.6326	-3.3	-4.0631
110	2.1679	2.2714	2.0991	-13.238	-18.485	-0.5357	-1.2828	-1.4533
120	6.8187	5.5196	5.055	-13.178	-18.44	-3.6688	-3.3549	-4.1265
130	2.3919	2.4762	1.575	-16.584	-21.092	-0.5688	-1.4144	-1.6061
140	6.6973	5.4624	-2.572	-18.852	-22.484	-3.6085	-3.2645	-4.0387
150	2.402	2.4661	-13.987	-21.461	-24.368	-16.51	-1.3911	-1.5993
160	6.6576	5.4367	-17.445	-24.04	-26.355	-23.841	-3.2774	-4.0535
170	2.3836	2.4461	-18.932	-25.11	-27.158	-23.732	-1.3947	-1.5985
180	6.6496	5.4331	-19.359	-25.407	-27.477	-25.563	-3.2452	-4.0042
190	2.4743	2.5313	-19.511	-25.559	-27.548	-24.603	-1.416	-1.6228
200	6.5594	5.3877	-19.634	-25.591	-27.628	-25.817	-3.1845	-3.9469
210	2.5783	2.6147	-19.788	-25.716	-27.669	-24.915	-1.4504	-1.6768
220	6.4704	5.3403	-19.916	-25.756	-27.761	-26.028	-3.1298	-3.8919
230	2.5438	2.5768	-20.101	-25.867	-27.773	-25.112	-1.4102	-1.6358
240	6.439	5.322	-20.078	-25.831	-27.818	-26.117	-3.1085	-3.8639
250	2.5208	2.5598	-20.137	-25.853	-27.747	-25.069	-1.3854	-1.5993
260	6.4166	5.3098	-19.923	-25.699	-27.691	-25.921	-3.0818	-3.8343
270	2.6271	2.6582	-19.88	-25.659	-27.57	-24.802	-1.4308	-1.6551
280	6.3377	5.2672	-19.663	-25.482	-27.483	-25.583	-3.0228	-3.7794
290	2.742	2.7485	-19.663	-25.428	-27.339	-24.431	-1.4575	-1.7032
300	6.2524	5.2185	-19.46	-25.245	-27.247	-25.192	-2.9609	-3.7196
310	2.8356	2.8211	-19.554	-25.198	-27.098	-24.024	-1.4684	-1.7324
320	6.1548	5.1591	-19.383	-24.997	-27.002	-24.765	-2.8855	-3.644
330	2.7832	2.7696	-19.432	-24.941	-26.839	-23.491	-1.3923	-1.65
340	6.103	5.1259	-19.15	-24.769	-26.789	-24.405	-2.8373	-3.5896
350	2.8742	2.8575	-19.212	-24.75	-26.658	-23.213	-1.4239	-1.6959
360	5.9994	5.0596	-19	-24.643	-26.654	-24.171	-2.7527	-3.5038
370	5.668	4.8745	-19.18	-24.7	-26.655	-24.146	-2.5607	-3.3474
380	5.4568	4.5946	-19.273	-24.696	-26.609	-24.021	-2.2106	-2.9651
390	5.384	4.5195	-19.499	-24.612	-26.441	-23.717	-2.0311	-2.8021
400	5.2984	4.4465	-19.64	-24.501	-26.278	-23.338	-1.9776	-2.7481
410	5.1446	4.3143	-19.49	-24.24	-25.999	-22.724	-1.9356	-2.6912
420	5.0032	4.1793	-19.36	-24.022	-25.763	-22.089	-1.8778	-2.6165
430	4.9114	4.0884	-19.074	-23.693	-25.428	-21.059	-1.8226	-2.5504
440	4.8151	4.0008	-19.063	-23.39	-25.13	-20.013	-1.7872	-2.5092
450	4.704	3.8929	-18.792	-23.018	-24.75	-18.156	-1.7682	-2.4855
460	4.5988	3.7838	-18.174	-22.556	-24.294	-14.392	-1.755	-2.4694
470	4.5117	3.6888	-17.443	-22.122	-23.856	0	-1.746	-2.4592
480	4.4452	3.6135	-15.803	-21.47	-23.225	0	-1.7406	0
490	4.3967	3.5579	2.968	-20.741	-22.52	0	0	0
500	4.3619	3.518	2.8862	-19.834	-21.626	0	0	0
510	4.3373	3.4902	2.8587	-18.962	-20.746	0	0	0
520	4.3201	3.4711	0	-18.154	-19.897	0	0	0
530	4.308	3.4579	2.7568	-17.117	-18.827	0	0	0
540	0	3.4488	2.6572	-16.14	-17.87	0	0	0
550	0	0	0	-15.201	-16.927	0	0	0
560	0	0	0	-14.387	-16.076	0	0	0
570	0	0	0	-13.629	-15.258	0	0	0
580	0	0	0	-12.856	-14.401	0	0	0
590	0	0	0	-12.257	-13.676	0	0	0
600	0	0	0	-11.666	-13.052	0	0	0
610	0	0	0	-11.117	-12.46	0	0	0
620	0	0	0	-10.561	-11.854	0	0	0
630	0	0	0	-10.111	-11.359	0	0	0
640	0	0	0	-9.7421	-10.949	0	0	0
650	0	0	0	-9.4006	-10.57	0	0	0
660	0	0	0	-9.1052	-10.153	0	0	0
670	0	0	0	-8.8187	-9.7606	0	0	0
680	0	0	0	-8.5293	-9.3905	0	0	0
690	0	0	0	-8.32	-9.0884	0	0	0
700	0	0	0	-8.1387	-8.837	0	0	0
